"","타임스탬프","당신의성별은","당신의연령대는","이성교제의경험의유무","현재이성교제를하고있습니까","지금까지교제한이성은몇명입니까","a1","a2","a3","역a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","역a12","a13","b14","b15","b16","b17","b18","b19","b20","역b20","b21","d22","d23","d24","d25","d26","d27","d28","e29","e30","e31","역e31","e32","e33","e34","e35","L1","L2","L3","L4","E1","E2","E3","E4","S1","S2","S3","S4","역역a3","역역a12","역역b20","역역e31","a","b","d","e","유희적태도","루두스","에로스","스토르게"
"1","2014. 11. 27 오전 7:23:04","남자","20대",1,"N","3",2,2,2,4,3,2,2,3,2,2,3,4,3,3,3,4,2,4,2,2,2,3,3,3,3,4,4,2,4,4,4,2,3,3,3,3,3,3,4,3,2,2,2,3,2,3,2,3,3,4,3,2,3,3,3,2.63636363636364,3.25,4,3,3.04166666666667,2.25,2.5,3.25
"2","2014. 11. 27 오전 7:29:36","남자","20대",1,"Y","2",2,2,2,4,3,2,3,2,2,2,2,2,2,2,3,3,2,2,4,3,2,2,3,2,3,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,2,5,2,4,4,4,5,2,2,4,3,2,4,3,3,2.27272727272727,2.25,3,2.2,2.375,2.75,4.25,2.75
"3","2014. 11. 27 오전 8:44:35","남자","20대",1,"Y","10",2,2,3,3,2,3,4,2,2,3,3,3,3,2,3,4,2,3,1,2,2,2,4,2,2,2,3,3,2,3,2,2,3,3,2,2,3,2,2,3,2,4,2,3,3,3,2,4,4,3,3,3,4,2,4,2.81818181818182,2.75,2.5,2.4,2.66666666666667,2.75,2.75,3.5
"4","2014. 11. 27 오전 9:02:05","남자","20대",1,"N","1",2,2,2,4,2,2,2,1,3,1,1,2,2,3,3,2,4,1,2,3,4,2,4,2,4,4,2,4,4,2,4,2,2,2,4,2,2,3,2,4,1,2,1,3,2,2,3,3,3,3,3,2,3,2,2,1.90909090909091,2.25,3,2,2.16666666666667,2,2.5,3
"5","2014. 11. 27 오전 9:07:01","남자","20대",1,"N","1",2,1,3,4,3,2,1,2,2,2,2,2,2,4,2,4,2,3,1,1,2,1,3,1,2,2,2,2,2,4,3,2,2,2,4,2,2,3,3,3,1,3,2,2,3,3,3,3,3,3,4,2,2,3,2,2.09090909090909,2.5,2.5,2.2,2.25,2.25,2.75,3.25
"6","2014. 11. 27 오전 9:08:22","남자","20대",1,"N","5",1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,2,3,2,2,2,3,2,4,2,3,3,2,2,2,3,2,2,1,1,5,2,1,3,1,3,1,5,1,3,4,4,4,3,3,3,5,1,1,2,1,1,2.25,2.5,1.4,1.54166666666667,2.5,3.75,3.5
"7","2014. 11. 27 오전 9:12:56","남자","20대",1,"Y","3",2,2,2,4,2,1,4,1,1,1,1,1,1,4,1,2,4,3,2,1,2,2,4,2,3,3,2,4,2,2,3,3,2,3,2,2,2,2,1,3,1,1,1,2,4,4,5,3,4,4,4,2,2,2,4,1.45454545454545,2.25,2.25,2,1.83333333333333,1.5,3.75,3.75
"8","2014. 11. 27 오전 9:13:57","남자","20대",1,"N","1명",1,1,2,4,2,2,2,3,3,2,2,2,2,4,2,3,4,4,2,2,2,2,4,1,3,2,3,3,2,2,3,3,2,2,3,2,1,2,2,4,1,3,1,4,2,2,4,3,2,3,2,2,2,2,3,2.18181818181818,2.5,2.25,2,2.20833333333333,2.25,3,2.5
"9","2014. 11. 27 오전 9:16:02","남자","20대",1,"N","4",3,2,1,4,2,1,1,4,2,2,4,3,4,3,3,2,3,3,3,3,4,4,2,4,3,2,2,4,4,4,3,2,3,3,3,3,2,2,2,3,2,2,2,3,2,3,3,2,2,3,3,2,3,4,3,2.45454545454545,3.25,3,2.4,2.66666666666667,2.25,2.75,2.5
"10","2014. 11. 27 오전 9:18:50","남자","20대",1,"Y","3",1,1,2,4,2,1,1,1,2,1,1,1,1,5,1,1,1,1,1,1,1,1,4,1,2,2,2,3,2,1,2,2,2,2,5,2,2,4,2,2,1,4,1,4,5,4,4,1,1,1,1,2,1,2,1,1.27272727272727,1,1.75,2,1.45833333333333,2,4.25,1
"11","2014. 11. 27 오전 9:22:07","남자","20대",1,"Y","2",1,2,2,4,4,1,2,2,3,3,3,2,2,4,4,3,4,3,4,2,2,2,4,2,3,2,2,4,2,3,4,3,2,3,3,3,2,2,2,3,1,4,2,4,4,4,3,2,2,4,2,2,2,2,3,2.54545454545455,2.5,2.25,2.4,2.45833333333333,2.5,3.75,2.5
"12","2014. 11. 27 오전 9:22:24","남자","20대",1,"N","1",3,1,3,3,2,2,1,1,3,3,2,2,2,3,3,2,3,2,1,3,2,3,3,2,2,3,4,2,2,3,4,3,2,2,4,2,2,2,2,2,1,4,2,3,4,3,3,4,3,2,4,3,3,3,2,2.18181818181818,2,3,2.2,2.29166666666667,2.25,3.25,3.25
"13","2014. 11. 27 오전 9:27:01","남자","20대",1,"N","3",2,1,2,3,3,2,1,3,1,2,2,2,1,4,2,3,3,2,2,2,3,5,1,3,4,3,2,4,3,4,4,4,2,2,4,2,2,2,2,3,2,5,1,3,1,3,3,3,3,3,4,3,2,5,2,1.90909090909091,2.75,3,2.4,2.33333333333333,2.75,2.5,3.25
"14","2014. 11. 27 오전 9:27:18","남자","20대",1,"N","3명",2,1,2,5,2,1,1,1,1,1,1,2,1,4,2,3,3,1,2,1,2,1,4,1,4,2,2,3,2,3,2,1,1,2,4,3,1,2,1,2,2,3,1,2,3,3,3,5,4,4,5,1,2,2,2,1.36363636363636,1.75,2.25,1.4,1.58333333333333,2,2.75,4.5
"15","2014. 11. 27 오전 9:31:23","남자","20대",1,"Y","3명",3,4,3,3,4,5,4,2,2,2,2,4,2,4,2,4,4,4,4,3,4,2,4,2,2,2,4,3,3,2,4,3,2,3,3,2,2,2,2,3,2,4,2,4,4,4,4,2,2,4,2,3,2,2,3,2.90909090909091,3.5,2.75,2.2,2.83333333333333,2.75,4,2.5
"16","2014. 11. 27 오전 9:31:37","남자","20대",1,"Y","3명",3,4,3,3,4,5,4,2,2,2,2,4,2,4,2,4,4,4,4,3,4,2,4,2,2,2,4,3,3,2,4,3,2,3,3,2,2,2,2,3,2,4,2,4,4,4,4,2,2,4,2,3,2,2,3,2.90909090909091,3.5,2.75,2.2,2.83333333333333,2.75,4,2.5
"17","2014. 11. 27 오전 9:33:10","남자","20대",1,"Y","2",3,1,3,4,4,5,3,5,3,4,4,2,4,2,3,4,3,3,4,2,2,1,5,1,5,3,3,4,2,2,5,3,1,2,4,2,1,1,2,3,1,5,3,1,1,2,2,5,5,2,3,2,4,1,2,3.63636363636364,2.5,2.5,1.8,2.875,3,1.5,3.75
"18","2014. 11. 27 오전 9:35:42","남자","20대",1,"Y","3",1,1,3,3,5,1,3,4,3,2,1,1,4,3,1,5,5,3,5,5,3,1,5,3,4,4,3,5,3,1,5,4,1,1,4,1,1,2,1,3,1,5,1,5,2,4,2,3,3,5,2,3,3,1,2,2.54545454545455,3.5,2.75,1.6,2.54166666666667,2.5,3.25,3.25
"19","2014. 11. 27 오전 9:37:31","남자","20대",1,"N","7명",1,1,1,4,2,1,1,1,3,1,1,1,1,4,1,1,3,1,3,2,1,1,4,1,3,2,2,3,1,1,3,2,1,3,5,1,2,3,1,4,2,3,1,3,2,4,2,3,3,3,4,2,2,2,1,1.27272727272727,1,1.5,1.4,1.29166666666667,2.5,2.75,3.25
"20","2014. 11. 27 오전 9:39:06","남자","30대",1,"Y","8",1,2,1,5,4,2,5,1,2,2,1,4,2,4,2,4,2,3,1,4,2,2,4,1,4,1,1,2,2,5,4,1,1,3,2,1,1,3,1,3,1,1,1,4,4,4,4,3,2,5,4,1,2,2,4,2.36363636363636,2.5,2.25,1,2.08333333333333,1.5,4,3.5
"21","2014. 11. 27 오전 9:42:06","남자","20대",1,"N","3",1,2,4,3,3,3,4,4,3,4,4,4,4,2,2,3,3,1,3,2,3,3,3,3,2,2,4,4,4,4,1,4,2,2,3,2,2,2,2,3,2,4,1,3,4,4,4,3,3,3,3,3,4,3,3,3.54545454545455,2.5,3.5,2.4,3.125,2.5,3.75,3
"22","2014. 11. 27 오전 9:45:10","남자","20대",1,"N","2",2,2,2,4,2,1,3,2,2,1,3,2,1,4,3,4,2,2,3,2,2,2,4,2,2,3,2,2,2,4,2,4,2,2,4,1,1,1,1,3,1,2,1,1,1,3,3,1,3,3,1,2,2,2,2,2,2.5,2.75,1.8,2.16666666666667,1.75,2,2
"23","2014. 11. 27 오전 9:46:23","남자","20대",1,"Y","1",3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,4,2,2,2,3,3,3,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,2,5,3,3,4,3,3,3,4,4,3,3,3,3,3,2.90909090909091,3,3.5,3,3.04166666666667,3.25,3.25,3.5
"24","2014. 11. 27 오전 9:52:28","남자","20대",1,"N","3",3,2,2,4,3,1,1,1,2,2,1,2,2,4,2,3,2,1,2,1,2,2,4,2,3,2,2,3,2,2,3,2,2,2,3,2,2,1,2,3,1,3,1,3,2,3,3,2,2,3,3,2,2,2,3,1.72727272727273,2,2,2,1.875,2,2.75,2.5
"25","2014. 11. 27 오전 9:52:47","남자","30대",1,"N","6",2,1,2,4,3,2,1,1,1,1,1,4,2,4,2,3,2,2,1,3,1,2,4,1,2,4,3,4,2,4,2,4,2,2,5,2,2,4,3,4,2,2,1,4,4,4,1,1,3,2,2,2,2,2,1,1.81818181818182,1.75,3.25,2.6,2.20833333333333,2.25,3.25,2
"26","2014. 11. 27 오전 9:55:08","남자","20대",1,"Y","2명",2,2,4,2,3,1,3,4,4,4,4,1,4,2,3,2,1,2,1,2,1,2,4,2,2,2,2,2,1,3,3,2,2,3,4,3,2,2,2,2,2,4,2,4,3,4,3,2,4,4,3,4,4,2,2,3.18181818181818,1.75,2,2.2,2.54166666666667,2.5,3.5,3.25
"27","2014. 11. 27 오전 10:04:51","남자","20대",1,"Y","3",2,2,3,3,4,1,2,2,1,3,3,1,2,2,3,5,5,4,4,2,3,1,2,3,3,3,3,4,4,4,4,3,2,4,1,2,2,2,2,2,3,3,1,2,2,2,1,2,2,3,1,3,4,4,5,2.27272727272727,3.75,3.5,2.2,2.70833333333333,2.25,1.75,2
"28","2014. 11. 27 오전 10:08:08","남자","20대",1,"N","2",4,3,3,3,4,2,2,2,3,2,4,3,3,1,4,2,1,3,1,1,1,4,1,3,2,2,2,2,2,5,3,3,2,1,4,3,2,4,5,3,3,2,3,4,2,3,3,4,3,4,4,3,5,5,2,2.90909090909091,2.25,2.75,3,2.79166666666667,2.75,3,3.75
"29","2014. 11. 27 오전 10:11:06","남자","20대",1,"N","2",2,1,2,4,3,1,1,3,3,2,3,2,2,3,3,4,3,1,3,2,2,2,4,2,2,3,2,3,1,2,3,2,3,3,4,2,2,1,1,2,2,5,1,3,3,3,3,3,4,2,3,2,3,2,2,2.27272727272727,2.25,2,2,2.16666666666667,2.5,3,3
"30","2014. 11. 27 오전 10:16:46","남자","20대",1,"N","3",2,1,2,4,4,2,3,3,1,2,2,3,3,3,2,4,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,4,3,3,2,2,3,3,2,3,2,4,2.45454545454545,2.5,2,2,2.29166666666667,2,3,2.5
"31","2014. 11. 27 오전 10:17:35","남자","20대",1,"N","3",2,1,4,2,2,1,4,4,4,4,5,5,5,1,5,3,4,1,4,2,2,1,5,2,4,5,4,3,1,4,4,4,4,4,1,2,2,4,2,4,1,2,1,4,2,2,4,1,1,1,1,4,5,1,5,3.90909090909091,2,3.5,2.8,3.29166666666667,2,3,1
"32","2014. 11. 27 오전 10:20:59","남자","20대",1,"Y","3명",2,1,3,3,2,3,3,2,2,2,2,3,2,4,2,3,3,2,2,1,2,1,4,2,3,2,3,4,2,2,2,3,2,2,3,2,1,3,2,3,1,4,1,4,2,3,3,2,2,4,2,3,2,2,3,2.36363636363636,2.25,2.25,2,2.25,2.25,3,2.5
"33","2014. 11. 27 오전 10:27:49","남자","20대",1,"Y","1명",1,1,1,4,1,1,2,2,1,4,4,2,3,3,3,3,2,1,1,2,3,2,4,2,3,2,2,3,3,3,3,1,2,3,3,1,3,3,4,3,1,2,1,3,1,4,2,1,1,3,1,2,3,2,3,2.18181818181818,2.25,2.5,2.2,2.25,1.75,2.5,1.5
"34","2014. 11. 27 오전 10:30:47","남자","20대",1,"Y","8",3,2,3,3,2,2,2,4,3,4,4,4,4,2,4,3,3,3,3,3,2,2,4,2,3,3,3,3,3,2,4,4,4,4,2,4,3,4,2,4,4,4,2,4,4,4,4,2,4,4,4,3,4,2,4,3.27272727272727,2.5,2.75,3.4,3.08333333333333,3.5,4,3.5
"35","2014. 11. 27 오전 10:43:04","남자","20대",1,"N","5명",1,2,1,4,2,1,3,2,3,2,3,2,2,3,3,3,2,2,1,2,2,2,4,3,2,1,2,3,4,4,4,2,4,4,2,2,3,2,2,1,2,4,1,2,4,4,3,2,2,4,2,2,3,2,4,2.18181818181818,2.5,2.75,2.6,2.41666666666667,2,3.25,2.5
"36","2014. 11. 27 오전 10:44:07","남자","20대",1,"N","5",3,2,4,4,4,1,3,3,3,2,2,2,3,2,3,2,4,1,3,3,2,2,4,3,4,4,2,4,2,3,4,4,2,3,4,2,2,1,2,4,1,2,1,3,3,3,3,3,4,4,2,2,4,2,2,2.72727272727273,2,2.75,2.4,2.54166666666667,2,3,3.25
"37","2014. 11. 27 오전 10:44:17","남자","30대",1,"N","2",4,2,3,4,4,1,2,1,2,1,1,2,1,5,1,2,2,2,2,2,2,2,4,2,3,2,2,2,1,2,2,3,2,2,4,2,2,2,3,3,1,2,1,3,3,3,3,2,3,2,2,2,1,2,2,1.72727272727273,2,1.75,2.4,1.91666666666667,1.75,3,2.25
"38","2014. 11. 27 오전 11:04:04","남자","20대",1,"Y","2",1,1,1,5,1,1,1,3,2,3,4,3,3,2,3,3,2,4,2,3,1,1,5,1,3,1,1,2,1,2,2,2,3,3,3,3,2,2,2,3,1,5,1,5,5,5,2,1,1,1,1,1,4,1,3,2.27272727272727,2.25,1.25,2.4,2.125,2.5,4.25,1
"39","2014. 11. 27 오전 11:04:56","남자","20대",1,"Y","4",3,2,3,4,2,1,1,2,1,1,1,2,2,4,2,2,4,2,4,2,2,1,4,1,3,2,2,3,2,2,4,2,2,2,4,2,3,2,2,3,3,3,1,4,3,4,3,3,3,3,3,2,2,2,2,1.63636363636364,1.75,2,2.2,1.83333333333333,2.5,3.5,3
"40","2014. 11. 27 오전 11:05:08","남자","20대",1,"Y","3",2,1,1,4,4,1,2,2,3,1,1,3,2,3,1,2,5,1,2,1,1,1,4,1,4,3,3,3,1,2,1,1,3,2,4,3,2,4,1,5,1,1,1,2,3,4,2,4,1,2,4,2,3,2,2,1.90909090909091,1.25,2.25,2,1.875,2,2.75,2.75
"41","2014. 11. 27 오전 11:07:40","남자","20대",1,"Y","1",3,1,3,3,3,5,4,3,3,3,3,4,3,3,3,3,1,2,1,2,1,1,4,3,1,1,2,1,1,1,2,3,2,3,4,2,2,2,2,3,1,3,2,3,5,3,2,2,3,1,1,3,3,2,2,3.36363636363636,2.25,1.25,2.2,2.58333333333333,2.25,3.25,1.75
"42","2014. 11. 27 오전 11:11:04","남자","20대",1,"N","7",3,2,1,4,1,2,2,2,2,2,3,3,4,2,1,2,3,3,1,4,2,2,4,1,4,4,4,5,2,2,2,2,4,4,2,3,3,1,2,2,1,3,1,2,2,3,3,1,1,3,2,2,4,2,4,2.09090909090909,2,3,2.8,2.375,1.75,2.5,1.75
"43","2014. 11. 27 오전 11:18:17","남자","20대",1,"Y","비밀^^",2,1,1,5,2,1,2,1,2,2,2,1,2,2,2,1,2,3,1,3,2,2,3,2,3,3,3,3,3,3,4,2,3,3,3,3,3,3,2,3,2,4,1,5,5,4,5,1,4,3,1,1,4,3,3,1.63636363636364,2,3,2.6,2.125,2.5,4.75,2.25
"44","2014. 11. 27 오전 11:24:21","남자","20대",1,"Y","2",2,1,4,3,2,1,2,2,2,2,2,2,1,4,2,2,2,2,2,3,2,2,4,2,2,2,2,2,1,1,2,2,2,3,2,2,2,3,2,3,1,5,1,4,2,4,3,2,2,2,2,3,2,2,4,2,2,1.5,2,1.91666666666667,2.5,3.25,2
"45","2014. 11. 27 오전 11:24:52","남자","20대",1,"N","6",4,1,2,4,3,1,1,2,2,1,2,1,2,4,1,4,4,2,4,2,2,2,3,2,4,2,2,4,2,2,4,2,4,3,3,2,2,1,1,2,1,1,1,4,1,3,4,3,4,3,2,2,2,3,3,1.63636363636364,2.5,2,2.2,1.95833333333333,1.25,3,3
"46","2014. 11. 27 오전 11:24:52","남자","20대",1,"N","2",2,2,2,4,2,2,2,4,2,2,3,2,2,3,2,2,2,2,2,2,2,2,4,2,2,2,2,3,2,2,2,2,3,2,4,2,2,3,3,2,3,4,3,4,4,3,3,3,2,4,4,2,3,2,2,2.27272727272727,2,2,2.4,2.20833333333333,3,3.5,3.25
"47","2014. 11. 27 오전 11:26:38","남자","20대",1,"N","비밀^_^40번부터는 솔로라서 말문이 막히네요..",2,2,3,3,2,1,3,4,2,1,3,3,3,1,2,3,2,3,3,2,2,2,4,1,1,2,2,3,2,4,3,4,1,2,4,3,2,1,1,4,4,5,2,1,1,1,1,4,1,1,1,3,5,2,2,2.45454545454545,2.25,2.5,2.2,2.375,3.75,1,1.75
"48","2014. 11. 27 오전 11:29:06","남자","20대",1,"N","5",2,2,4,2,4,5,5,4,4,1,4,5,4,1,4,1,1,2,1,4,1,2,4,2,1,2,2,1,1,4,1,4,4,1,5,5,1,3,5,1,1,4,1,5,4,5,5,1,4,4,4,4,5,2,1,4,1.5,2.25,3.8,3.25,1.75,4.75,3.25
"49","2014. 11. 27 오전 11:31:19","남자","20대",1,"N","1",2,1,2,3,4,1,4,1,4,4,1,2,1,4,3,4,4,2,2,4,1,2,4,2,2,2,2,2,1,4,2,2,2,4,3,2,2,2,2,2,2,4,2,4,2,4,4,2,1,2,2,3,2,2,3,2.45454545454545,2.25,2.25,2,2.29166666666667,2.5,3.5,1.75
"50","2014. 11. 27 오전 11:32:47","남자","20대",1,"N","2명",1,1,1,4,2,1,2,2,2,1,1,2,1,4,1,3,2,1,2,2,2,2,3,2,2,2,2,3,2,2,3,2,2,2,4,2,2,3,2,3,2,3,1,3,3,3,3,2,3,3,3,2,2,3,2,1.45454545454545,2,2,2,1.75,2.25,3,2.75
"51","2014. 11. 27 오전 11:35:28","남자","20대",1,"Y","5",3,1,3,3,4,3,5,3,4,3,4,4,4,2,2,3,2,2,1,3,3,2,4,2,1,2,2,1,1,1,1,2,3,3,2,3,2,3,3,3,1,5,1,3,2,4,5,2,2,3,3,3,4,2,4,3.54545454545455,2.5,1.5,2.6,2.83333333333333,2.5,3.5,2.5
"52","2014. 11. 27 오전 11:35:36","남자","20대",1,"N","2",2,2,3,4,3,2,1,3,2,3,3,2,3,2,3,2,4,3,3,3,3,3,3,2,3,3,3,4,3,3,3,4,3,3,4,4,3,3,3,3,2,4,2,3,2,3,3,3,3,2,3,2,4,3,2,2.54545454545455,2.5,3,3.4,2.79166666666667,2.75,2.75,2.75
"53","2014. 11. 27 오전 11:37:00","남자","20대",1,"Y","4",2,1,1,4,3,1,2,1,3,2,2,2,1,5,1,4,2,2,1,1,1,1,5,1,2,2,2,3,1,2,2,2,3,4,2,1,2,2,1,2,1,4,1,4,5,5,4,1,1,2,1,2,1,1,4,1.72727272727273,2,1.75,1.8,1.79166666666667,2,4.5,1.25
"54","2014. 11. 27 오전 11:37:02","남자","20대",1,"N","4명",1,1,1,4,4,1,2,2,2,1,1,3,3,3,3,4,2,4,1,1,2,2,5,1,1,4,2,2,2,3,4,1,1,2,5,1,1,5,1,1,1,3,1,5,5,5,5,3,4,3,3,2,3,1,1,2.09090909090909,2.75,2.75,1,2.08333333333333,1.5,5,3.25
"55","2014. 11. 27 오전 11:43:23","남자","20대",1,"Y","5",3,1,3,3,1,2,2,3,4,4,4,3,3,3,5,2,1,2,1,2,2,1,4,1,2,3,4,3,2,3,1,1,3,4,1,2,3,4,3,3,2,5,1,5,2,3,3,2,1,4,2,3,3,2,5,3.09090909090909,1.75,3,2.4,2.70833333333333,2.75,3.25,2.25
"56","2014. 11. 27 오전 11:44:04","남자","20대",1,"N","1",3,4,4,3,3,4,3,3,2,4,3,4,4,4,3,3,2,4,2,3,4,3,3,3,4,4,4,3,4,4,3,4,4,3,3,4,3,4,3,3,3,4,4,3,3,3,4,4,2,4,4,3,2,3,3,3.36363636363636,3.5,4,3.6,3.54166666666667,3.5,3.25,3.5
"57","2014. 11. 27 오전 11:44:15","남자","20대",1,"N","1",3,4,4,3,3,4,3,3,2,4,3,4,4,4,3,3,2,4,2,3,4,3,3,3,4,4,4,3,4,4,3,4,4,3,3,4,3,4,3,3,3,4,4,3,3,3,4,4,2,4,4,3,2,3,3,3.36363636363636,3.5,4,3.6,3.54166666666667,3.5,3.25,3.5
"58","2014. 11. 27 오전 11:47:54","남자","20대",1,"N","지금까지 교제했다는게 잤다는소리여 만났다는소리여? 잔거랑 만난거랑 다른데... 6명",2,4,2,4,1,1,2,5,2,4,4,2,4,1,2,1,1,1,4,4,1,3,3,2,4,2,2,3,1,4,4,2,3,3,4,2,2,1,1,4,2,1,1,5,2,2,1,3,2,1,2,2,5,3,2,2.63636363636364,1.25,2.25,2,2.20833333333333,2,2.5,2
"59","2014. 11. 27 오전 11:48:18","남자","20대",1,"Y","3",4,2,3,3,2,3,2,3,3,3,3,3,4,2,3,4,4,3,2,2,2,2,3,2,4,4,4,3,2,2,4,5,2,1,5,2,2,2,2,4,4,5,2,4,1,3,1,2,2,3,2,3,4,3,1,2.90909090909091,2.75,3,2.6,2.83333333333333,3.75,2.25,2.25
"60","2014. 11. 27 오전 11:48:26","남자","20대",1,"Y","2",3,2,2,4,3,1,2,2,2,2,1,1,2,4,2,3,3,2,3,4,2,1,4,1,2,3,2,2,1,2,4,3,2,1,5,1,1,2,1,2,1,5,1,3,4,3,3,2,1,2,2,2,2,2,1,1.81818181818182,2,2,1.6,1.83333333333333,2.25,3.25,1.75
"61","2014. 11. 27 오전 11:50:10","남자","20대",1,"Y","2",2,1,2,4,2,1,2,1,2,1,1,2,1,3,2,2,3,2,2,2,3,2,3,2,4,3,4,3,3,3,2,3,2,2,4,2,1,1,2,3,1,4,1,2,3,4,3,2,3,3,3,2,3,3,2,1.54545454545455,2.25,3.25,2,2.04166666666667,2.25,3,2.75
"62","2014. 11. 27 오전 11:54:53","남자","20대",1,"Y","1",2,2,3,4,2,1,3,2,2,2,4,2,3,2,4,3,2,2,1,2,2,2,5,1,1,2,2,2,1,2,3,4,3,3,3,2,2,2,2,3,3,5,4,5,4,5,4,4,5,4,4,2,4,1,3,2.54545454545455,2,1.75,2.6,2.33333333333333,3.75,4.5,4.25
"63","2014. 11. 27 오후 12:01:58","남자","20대",1,"Y","3",5,4,4,2,5,2,4,4,4,4,5,4,4,2,2,4,4,5,5,5,4,4,2,5,4,5,5,4,4,2,4,4,3,2,1,4,3,5,5,4,4,4,2,2,1,4,3,2,2,2,2,4,4,4,5,3.81818181818182,4.5,4,3.8,3.95833333333333,3.5,2.5,2
"64","2014. 11. 27 오후 12:14:03","남자","20대",1,"Y","3",2,1,1,5,4,1,2,1,3,1,1,3,1,4,2,2,3,1,2,2,1,2,4,1,3,1,2,2,2,2,2,2,1,3,4,1,5,2,2,2,1,5,1,3,5,5,5,2,2,2,2,1,2,2,2,1.81818181818182,1.25,1.75,2.2,1.79166666666667,2.25,4.5,2
"65","2014. 11. 27 오후 12:20:34","남자","20대",1,"N","8",4,3,4,3,4,3,3,4,4,4,4,3,3,3,3,4,4,2,3,2,2,2,3,2,4,4,4,3,3,2,2,4,3,3,4,2,2,2,2,3,1,4,1,3,1,4,2,1,2,1,2,3,3,3,2,3.54545454545455,2.5,3.25,2.6,3.125,2.25,2.5,1.5
"66","2014. 11. 27 오후 12:22:21","남자","20대",1,"Y","이분 최소 20번",2,1,3,3,5,3,2,4,4,5,5,3,5,1,5,4,1,4,1,1,1,1,4,2,2,1,1,2,1,2,3,2,2,2,4,4,2,1,3,4,3,1,3,4,1,4,1,2,1,2,2,3,5,2,2,4,2.75,1.25,2.6,3.04166666666667,2.75,2.5,1.75
"67","2014. 11. 27 오후 12:24:31","남자","20대",1,"Y","4",2,1,2,4,2,4,2,2,3,2,2,3,2,3,2,2,2,3,1,4,2,2,3,3,3,3,2,3,2,4,1,3,4,3,3,3,3,3,3,4,1,3,1,4,4,4,4,3,2,2,3,2,3,3,3,2.36363636363636,2.5,2.75,3.2,2.625,2.25,4,2.5
"68","2014. 11. 27 오후 12:24:41","남자","20대",1,"Y","4",2,1,2,4,2,4,2,2,3,2,2,3,2,3,2,2,2,3,1,4,2,2,3,3,3,3,2,3,2,4,1,3,4,3,3,3,3,3,3,4,1,3,1,4,4,4,4,3,2,2,3,2,3,3,3,2.36363636363636,2.5,2.75,3.2,2.625,2.25,4,2.5
"69","2014. 11. 27 오후 12:26:30","남자","20대",1,"N","2",2,2,3,4,4,2,3,4,2,3,4,3,4,2,4,3,2,2,2,2,2,1,4,3,4,3,4,2,1,3,2,4,3,3,3,3,2,3,3,2,2,5,1,1,2,2,2,5,4,4,5,2,4,2,3,3.27272727272727,2.5,2.75,3,3,2.5,1.75,4.5
"70","2014. 11. 27 오후 12:28:12","남자","20대",1,"N","1",5,2,4,3,4,4,3,4,3,4,4,3,4,2,4,3,4,4,2,3,2,3,3,3,2,3,2,3,3,4,4,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,3,3.72727272727273,3,3,2.8,3.29166666666667,3,4,4
"71","2014. 11. 27 오후 12:28:21","남자","20대",1,"Y","8",2,1,3,3,2,2,4,1,2,1,4,3,3,3,2,2,4,2,3,2,2,1,4,2,3,2,2,3,2,3,4,4,2,3,3,2,2,3,2,3,2,2,2,4,2,4,2,2,4,3,1,3,3,2,3,2.45454545454545,2,2.25,2.4,2.33333333333333,2.25,3,2.5
"72","2014. 11. 27 오후 12:37:17","남자","20대",1,"N","10",1,2,1,4,3,1,1,4,2,4,4,2,4,1,4,3,1,3,1,4,3,2,4,3,4,3,3,3,3,5,3,2,3,1,5,2,4,3,3,3,5,5,1,3,5,5,5,1,5,4,5,2,5,2,1,2.72727272727273,3,3.5,2.8,2.91666666666667,3.5,4.5,3.75
"73","2014. 11. 27 오후 12:56:23","남자","20대",1,"Y","2명?",3,2,3,4,3,2,4,3,3,1,3,2,3,3,4,3,4,3,2,1,4,2,4,2,3,2,2,3,3,2,4,2,2,2,4,2,2,2,2,3,1,3,1,3,3,3,2,1,2,3,2,2,3,2,2,2.81818181818182,3,2.25,2,2.58333333333333,2,2.75,2
"74","2014. 11. 27 오후 1:03:07","남자","20대",1,"Y","2명",2,1,3,3,2,1,2,1,1,1,1,3,1,4,3,4,2,2,2,1,3,1,4,1,2,2,2,3,2,2,4,3,3,2,4,1,1,2,1,4,4,4,1,3,2,5,3,2,1,3,3,3,2,2,2,1.72727272727273,2.5,2,1.8,1.91666666666667,3.25,3.25,2.25
"75","2014. 11. 27 오후 1:13:58","남자","20대",1,"Y","2",2,2,5,2,4,3,4,4,3,4,4,5,3,2,5,3,2,3,2,1,1,2,4,1,1,3,3,2,1,3,3,5,2,3,3,4,2,3,4,2,1,3,3,5,5,4,5,3,3,5,4,4,4,2,3,4,2,2.5,3.4,3.29166666666667,2.25,4.75,3.75
