"","타임스탬프","당신의성별은","당신의연령대는","이성교제의경험의유무","현재이성교제를하고있습니까","지금까지교제한이성은몇명입니까","a1","a2","a3","역a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","역a12","a13","b14","b15","b16","b17","b18","b19","b20","역b20","b21","d22","d23","d24","d25","d26","d27","d28","e29","e30","e31","역e31","e32","e33","e34","e35","L1","L2","L3","L4","E1","E2","E3","E4","S1","S2","S3","S4","역역a3","역역a12","역역b20","역역e31","a","b","d","e","유희적태도","루두스","에로스","스토르게"
"151","2014. 11. 27 오후 11:20:12","남자","20대",1,"N","1",2,2,2,4,1,3,3,4,3,4,4,3,3,2,3,2,4,1,3,1,1,1,5,1,4,2,2,4,3,3,2,3,3,2,4,3,2,1,2,3,1,2,1,5,1,4,4,3,3,4,4,2,4,1,2,3,1.25,2.5,2.6,2.54166666666667,1.75,3.5,3.5
"152","2014. 11. 27 오후 11:28:33","남자","20대",1,"Y","5",1,1,3,4,2,4,1,2,1,3,4,4,3,4,3,1,2,1,1,3,1,1,3,2,1,1,1,2,2,2,1,2,2,2,4,2,1,2,1,1,1,2,2,4,5,4,4,1,3,2,1,2,2,3,2,2.72727272727273,1.25,1.5,1.6,2.04166666666667,1.5,4.25,1.75
"153","2014. 11. 28 오후 12:22:33","남자","20대",1,"N","900",4,4,3,3,3,2,4,3,2,3,2,3,3,2,3,5,4,4,4,4,3,4,2,4,3,3,4,4,4,2,4,4,3,3,3,4,2,2,2,4,4,3,2,3,1,3,2,3,2,4,2,3,4,4,3,2.81818181818182,4,3.25,3,3.125,3.25,2.25,2.75
"154","2014. 11. 28 오후 1:26:21","남자","20대",1,"N","6",2,1,3,5,3,1,1,1,3,1,3,1,1,5,3,3,4,1,3,1,2,4,2,2,4,1,2,2,2,4,4,2,3,2,3,2,2,1,2,4,1,2,1,3,2,3,3,3,3,4,5,1,1,4,3,1.90909090909091,2,2.25,2.2,2.04166666666667,2,2.75,3.75
"155","2014. 11. 28 오후 2:27:30","남자","20대",1,"Y","10",2,1,2,4,1,1,1,5,2,4,5,2,4,2,4,4,2,2,1,2,2,2,4,2,3,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,5,1,5,3,4,2,2,2,2,2,2,4,2,4,2.81818181818182,2.5,1.75,2,2.41666666666667,2.5,3.5,2
"156","2014. 11. 28 오후 2:33:09","남자","20대",1,"N","2",2,3,3,3,5,1,3,4,2,3,3,2,3,3,3,5,2,2,3,4,3,2,3,4,2,3,4,3,2,1,2,2,3,2,4,2,1,3,2,4,2,3,2,2,3,3,1,5,4,4,4,3,3,3,2,2.90909090909091,3.5,2.5,2,2.75,2.75,2.25,4.25
"157","2014. 11. 28 오후 2:33:21","남자","20대",1,"N","2",2,3,3,3,5,1,3,4,2,3,3,2,3,3,3,5,2,2,3,4,3,2,3,4,2,3,4,3,2,1,2,2,3,2,4,2,1,3,2,4,2,3,2,2,3,3,1,5,4,4,4,3,3,3,2,2.90909090909091,3.5,2.5,2,2.75,2.75,2.25,4.25
"158","2014. 11. 28 오후 2:40:10","남자","20대",1,"N","11",2,2,1,4,2,1,1,2,2,3,3,2,2,3,3,2,3,3,2,2,1,2,4,3,4,2,5,4,3,3,4,2,3,5,1,3,2,1,2,4,2,1,1,1,1,2,1,2,1,1,1,2,3,2,5,2,2.25,3.25,2.4,2.33333333333333,2,1.25,1.25
"159","2014. 11. 28 오후 2:41:19","남자","20대",1,"N","10",2,2,2,3,4,2,3,3,1,3,4,2,4,2,4,2,3,4,4,2,2,3,2,3,4,2,2,3,2,2,4,3,2,3,4,2,2,3,2,3,1,4,2,2,2,4,1,4,4,3,5,3,4,4,2,2.90909090909091,2.75,2,2.2,2.58333333333333,2.5,2.25,4
"160","2014. 11. 28 오후 2:44:39","남자","20대",1,"N","4",3,2,2,3,2,2,2,3,3,3,4,1,3,2,4,3,1,2,4,2,2,2,3,2,2,3,3,3,2,2,2,3,2,2,3,3,1,2,2,4,2,3,2,3,3,4,3,3,4,3,3,3,4,3,3,2.63636363636364,2.25,2.5,2.2,2.45833333333333,2.75,3.25,3.25
